,ranking
IForest,9.235294117647058
OCSVM,9.5
Decision Tree,10.352941176470589
PCA,10.676470588235293
ECOD,10.764705882352942
AutoEncoder,10.970588235294118
HBOS,11.029411764705882
KNN,11.352941176470589
GMM,11.382352941176471
COPOD,11.441176470588236
CBLOF,11.558823529411764
INNE,12.058823529411764
Average KNN,12.558823529411764
Median KNN,12.617647058823529
KDE,12.882352941176471
Sampling,13.235294117647058
LUNAR,13.294117647058824
DeepSVDD,13.5
LOF,14.264705882352942
MCD,14.382352941176471
Deep IForest,14.676470588235293
ABOD,14.941176470588236
KPCA,15.470588235294118
LMDD,17.852941176470587
