,z_values,p_values,adj_p_values
Decision Tree vs LMDD,6.970588235294116,3.156142014404395e-12,6.62789823024923e-11
Decision Tree vs KPCA,4.6764705882352935,2.9185443657375743e-06,5.8370887314751485e-05
Decision Tree vs ABOD,4.1764705882352935,2.960670035734303e-05,0.0005625273067895176
Decision Tree vs Deep IForest,3.9117647058823533,9.162415715224803e-05,0.0016492348287404646
Decision Tree vs MCD,3.7941176470588243,0.00014816941253759097,0.0025188800131390465
Decision Tree vs LOF,3.7058823529411757,0.00021065607158354815,0.0033704971453367705
Decision Tree vs LUNAR,2.8235294117647065,0.004749806769218878,0.07124710153828318
Decision Tree vs Sampling,2.764705882352942,0.005697414081236474,0.07976379713731063
Decision Tree vs KDE,2.1470588235294112,0.03178859887759966,0.4132517854087956
Decision Tree vs Median KNN,2.117647058823529,0.03420496957867458,0.4132517854087956
Decision Tree vs Average KNN,2.0588235294117645,0.039511146777561956,0.4346226145531815
Decision Tree vs INNE,1.617647058823529,0.10573868132925113,1.0
Decision Tree vs CBLOF,1.117647058823529,0.2637177618336968,1.0
Decision Tree vs IForest,1.117647058823529,0.2637177618336968,1.0
Decision Tree vs GMM,1.0,0.31731050786291415,1.0
Decision Tree vs COPOD,0.9705882352941178,0.33175336677593603,1.0
Decision Tree vs KNN,0.8529411764705888,0.39369192569023337,1.0
Decision Tree vs OCSVM,0.8235294117647065,0.41020699869225896,1.0
Decision Tree vs HBOS,0.5588235294117645,0.5762821625900301,1.0
Decision Tree vs ECOD,0.382352941176471,0.7021995908742968,1.0
Decision Tree vs PCA,0.29411764705882426,0.768668006560808,1.0
