,ranking
IForest,8.911764705882353
OCSVM,9.352941176470589
HBOS,9.823529411764707
PCA,10.176470588235293
Decision Tree,10.294117647058824
ECOD,10.294117647058824
CBLOF,11.264705882352942
GMM,11.352941176470589
INNE,11.470588235294118
KNN,11.5
COPOD,11.705882352941176
AutoEncoder,12.235294117647058
Average KNN,12.588235294117647
Median KNN,12.705882352941176
Sampling,12.911764705882353
DeepSVDD,13.058823529411764
Deep IForest,13.5
LOF,13.764705882352942
LUNAR,13.764705882352942
KDE,14.294117647058824
ABOD,14.441176470588236
MCD,14.5
LMDD,14.794117647058824
KPCA,21.294117647058822
