,z_values,p_values,adj_p_values
Decision Tree vs KPCA,10.058823529411763,0.0,0.0
Decision Tree vs LMDD,4.205882352941176,2.6006550111201676e-05,0.0005201310022240335
Decision Tree vs MCD,4.029411764705882,5.591659887205225e-05,0.0010624153785689927
Decision Tree vs ABOD,3.7941176470588225,0.00014816941253759097,0.0026670494256766375
Decision Tree vs KDE,3.5882352941176467,0.00033292377257554406,0.005659704133784249
Decision Tree vs LUNAR,3.3529411764705888,0.0007995769809812092,0.012793231695699347
Decision Tree vs LOF,3.2941176470588225,0.0009873116567662432,0.014809674851493648
Decision Tree vs Deep IForest,2.9705882352941178,0.0029723000774566355,0.0416122010843929
Decision Tree vs Sampling,2.617647058823529,0.00885383285635366,0.11509982713259759
Decision Tree vs Median KNN,2.4117647058823533,0.01587552311581031,0.1905062773897237
Decision Tree vs Average KNN,2.2941176470588225,0.02178374197170685,0.23962116168877534
Decision Tree vs IForest,1.3235294117647065,0.1856593819791179,1.0
Decision Tree vs COPOD,1.2941176470588225,0.1956247868692671,1.0
Decision Tree vs KNN,1.2058823529411757,0.22786285587569255,1.0
Decision Tree vs INNE,1.1764705882352935,0.2394068787967898,1.0
Decision Tree vs GMM,1.117647058823529,0.2637177618336968,1.0
Decision Tree vs CBLOF,1.0294117647058822,0.30328622306984165,1.0
Decision Tree vs OCSVM,0.882352941176471,0.3775859754742483,1.0
Decision Tree vs HBOS,0.35294117647058876,0.7241325403889187,1.0
Decision Tree vs ECOD,0.117647058823529,0.9063473162821933,1.0
Decision Tree vs PCA,0.0588235294117645,0.95309266714744,1.0
