,ranking
Deep IForest,9.382352941176471
OCSVM,9.941176470588236
Decision Tree,10.058823529411764
IForest,10.117647058823529
ECOD,10.352941176470589
KNN,10.588235294117647
PCA,11.235294117647058
COPOD,11.323529411764707
CBLOF,11.382352941176471
HBOS,11.441176470588236
INNE,12.058823529411764
GMM,12.176470588235293
LUNAR,12.205882352941176
Median KNN,12.264705882352942
Average KNN,12.676470588235293
LMDD,12.852941176470589
AutoEncoder,12.970588235294118
ABOD,13.382352941176471
Sampling,13.588235294117647
LOF,14.176470588235293
MCD,14.264705882352942
KDE,15.117647058823529
DeepSVDD,16.5
KPCA,19.941176470588236
