,z_values,p_values,adj_p_values
Decision Tree vs KPCA,9.882352941176471,0.0,0.0
Decision Tree vs DeepSVDD,6.4411764705882355,1.1855094683710377e-10,2.608120830416283e-09
Decision Tree vs KDE,5.0588235294117645,4.218510352149707e-07,8.858871739514385e-06
Decision Tree vs MCD,4.2058823529411775,2.6006550111201676e-05,0.0005201310022240335
Decision Tree vs LOF,4.117647058823529,3.827602835082544e-05,0.0007272445386656834
Decision Tree vs Sampling,3.5294117647058822,0.0004164845611231982,0.007496722100217568
Decision Tree vs ABOD,3.3235294117647065,0.0008888604916499343,0.015110628358048883
Decision Tree vs AutoEncoder,2.9117647058823533,0.003593932473773487,0.05750291958037579
Decision Tree vs LMDD,2.7941176470588243,0.005204154199700106,0.07806231299550159
Decision Tree vs Average KNN,2.617647058823529,0.00885383285635366,0.12395365998895125
Decision Tree vs Median KNN,2.2058823529411775,0.027392238135928393,0.3560990957670691
Decision Tree vs LUNAR,2.1470588235294112,0.03178859887759966,0.38146318653119593
Decision Tree vs GMM,2.117647058823529,0.03420496957867458,0.38146318653119593
Decision Tree vs INNE,2.0,0.04550026389635842,0.45500263896358417
Decision Tree vs HBOS,1.382352941176471,0.1668633578851404,1.0
Decision Tree vs CBLOF,1.3235294117647065,0.1856593819791179,1.0
Decision Tree vs COPOD,1.264705882352942,0.20597678051693324,1.0
Decision Tree vs PCA,1.1764705882352935,0.2394068787967898,1.0
Decision Tree vs Deep IForest,0.6764705882352935,0.49874191360014697,1.0
Decision Tree vs KNN,0.5294117647058822,0.5965198387266177,1.0
Decision Tree vs ECOD,0.29411764705882426,0.768668006560808,1.0
Decision Tree vs OCSVM,0.117647058823529,0.9063473162821933,1.0
Decision Tree vs IForest,0.0588235294117645,0.95309266714744,1.0
