,ranking
KPCA,3.235294117647059
KDE,4.735294117647059
IForest,8.323529411764707
GMM,9.176470588235293
OCSVM,9.235294117647058
HBOS,9.764705882352942
PCA,10.235294117647058
INNE,10.382352941176471
CBLOF,10.5
KNN,11.529411764705882
ECOD,11.617647058823529
COPOD,11.970588235294118
Average KNN,12.382352941176471
Median KNN,12.411764705882353
Sampling,12.441176470588236
LUNAR,13.176470588235293
Decision Tree,13.382352941176471
LOF,13.705882352941176
MCD,14.029411764705882
ABOD,14.764705882352942
Deep IForest,17.352941176470587
LMDD,18.647058823529413
