,z_values,p_values,adj_p_values
Decision Tree vs KDE,8.647058823529413,0.0,0.0
Decision Tree vs KPCA,10.147058823529413,0.0,0.0
Decision Tree vs LMDD,5.264705882352942,1.404139664540338e-07,2.6678653626266424e-06
Decision Tree vs IForest,5.0588235294117645,4.218510352149707e-07,7.5933186338694725e-06
Decision Tree vs GMM,4.2058823529411775,2.6006550111201676e-05,0.0004421113518904285
Decision Tree vs OCSVM,4.147058823529413,3.3677356078509746e-05,0.0005388376972561559
Decision Tree vs Deep IForest,3.970588235294116,7.169539734785957e-05,0.0010754309602178935
Decision Tree vs HBOS,3.617647058823529,0.00029729341871176374,0.004162107861964692
Decision Tree vs PCA,3.147058823529413,0.0016492177928111307,0.0214398313065447
Decision Tree vs INNE,3.0,0.002699796063260207,0.03239755275912248
Decision Tree vs CBLOF,2.882352941176471,0.003947173356283473,0.043418906919118205
Decision Tree vs KNN,1.8529411764705888,0.06389079037285028,0.6389079037285028
Decision Tree vs ECOD,1.764705882352942,0.07761320945770223,0.69851888511932
Decision Tree vs COPOD,1.4117647058823533,0.1580192538473988,1.0
Decision Tree vs ABOD,1.382352941176471,0.1668633578851404,1.0
Decision Tree vs Average KNN,1.0,0.31731050786291415,1.0
Decision Tree vs Median KNN,0.9705882352941178,0.33175336677593603,1.0
Decision Tree vs Sampling,0.9411764705882355,0.34661443250305046,1.0
Decision Tree vs MCD,0.6470588235294112,0.5175938734573928,1.0
Decision Tree vs LOF,0.32352941176470473,0.7462943368143342,1.0
Decision Tree vs LUNAR,0.20588235294117752,0.8368828104642263,1.0
